instrument,ref_month,release_date,asof,effective_asof,frozen,call_bp,realized_bp,deviation_bp,bench_seasonal_naive_bp,bench_ar1_bp,bench_zero_bp,attribution
cpi_headline,2022-09-01,2022-10-13,2022-10-10,2022-10-09,True,10.94,21.51,-10.57,16.19,-3.54,0.0,"{'SETB01': -667.0, 'SETA02': -5.9}"
cpi_core,2022-09-01,2022-10-13,2022-10-10,2022-10-09,True,32.0,42.53,-10.53,17.93,51.82,0.0,"{'SETB01': -667.0, 'SETA02': -5.9}"
cpi_headline,2022-10-01,2022-11-10,2022-11-07,2022-11-06,True,34.17,40.56,-6.39,13.04,21.51,0.0,"{'SETB01': 299.8, 'SETA02': -198.7}"
cpi_core,2022-10-01,2022-11-10,2022-11-07,2022-11-06,True,28.92,29.25,-0.33,26.72,42.53,0.0,"{'SETB01': 299.8, 'SETA02': -198.7}"
cpi_headline,2022-11-01,2022-12-13,2022-12-10,2022-12-09,True,-7.84,-10.1,2.26,-10.78,40.56,0.0,"{'SETB01': -329.3, 'SETA02': -148.6}"
cpi_core,2022-11-01,2022-12-13,2022-12-10,2022-12-09,True,5.54,9.52,-3.98,5.08,29.25,0.0,"{'SETB01': -329.3, 'SETA02': -148.6}"
cpi_headline,2022-12-01,2023-01-12,2023-01-09,2023-01-08,True,-34.37,-30.7,-3.67,-11.8,-10.1,0.0,"{'SETB01': -1243.9, 'SETA02': -110.8}"
cpi_core,2022-12-01,2023-01-12,2023-01-09,2023-01-08,True,2.02,17.12,-15.1,-1.09,9.52,0.0,"{'SETB01': -1243.9, 'SETA02': -110.8}"
cpi_headline,2023-01-01,2023-02-10,2023-02-07,2023-02-06,True,61.87,79.95,-18.08,33.35,-30.7,0.0,"{'SETB01': 388.4, 'SETA02': -13.7}"
cpi_core,2023-01-01,2023-02-10,2023-02-07,2023-02-06,True,48.18,61.61,-13.43,38.11,17.12,0.0,"{'SETB01': 388.4, 'SETA02': -13.7}"
cpi_headline,2023-02-01,2023-03-14,2023-03-11,2023-03-10,True,54.76,55.82,-1.06,43.03,79.95,0.0,"{'SETB01': 143.2, 'SETA02': 40.0}"
cpi_core,2023-02-01,2023-03-14,2023-03-11,2023-03-10,True,53.94,67.86,-13.92,45.25,61.61,0.0,"{'SETB01': 143.2, 'SETA02': 40.0}"
cpi_headline,2023-03-01,2023-04-12,2023-04-09,2023-04-08,True,32.62,33.11,-0.49,46.54,55.82,0.0,"{'SETB01': 94.7, 'SETA02': 124.5}"
cpi_core,2023-03-01,2023-04-12,2023-04-09,2023-04-08,True,36.15,48.19,-12.04,27.11,67.86,0.0,"{'SETB01': 94.7, 'SETA02': 124.5}"
cpi_headline,2023-04-01,2023-05-10,2023-05-07,2023-05-06,True,46.03,50.59,-4.56,32.66,33.11,0.0,"{'SETB01': 510.4, 'SETA02': 215.0}"
cpi_core,2023-04-01,2023-05-10,2023-05-07,2023-05-06,True,31.14,46.58,-15.45,24.48,48.19,0.0,"{'SETB01': 510.4, 'SETA02': 215.0}"
cpi_headline,2023-05-01,2023-06-13,2023-06-10,2023-06-09,True,21.95,25.18,-3.24,44.18,50.59,0.0,"{'SETB01': -129.1, 'SETA02': 75.8}"
cpi_core,2023-05-01,2023-06-13,2023-06-10,2023-06-09,True,26.96,39.0,-12.04,23.33,46.58,0.0,"{'SETB01': -129.1, 'SETA02': 75.8}"
cpi_headline,2023-06-01,2023-07-12,2023-07-09,2023-07-08,True,31.55,32.29,-0.74,47.48,25.18,0.0,"{'SETB01': 44.0, 'SETA02': -152.0}"
cpi_core,2023-06-01,2023-07-12,2023-07-09,2023-07-08,True,23.95,26.42,-2.47,29.46,39.0,0.0,"{'SETB01': 44.0, 'SETA02': -152.0}"
cpi_headline,2023-07-01,2023-08-10,2023-08-07,2023-08-06,True,16.43,19.08,-2.64,11.56,32.29,0.0,"{'SETB01': 70.3, 'SETA02': -136.1}"
cpi_core,2023-07-01,2023-08-10,2023-08-07,2023-08-06,True,13.97,15.93,-1.96,17.3,26.42,0.0,"{'SETB01': 70.3, 'SETA02': -136.1}"
cpi_headline,2023-08-01,2023-09-13,2023-09-10,2023-09-09,True,35.71,43.67,-7.97,9.83,19.08,0.0,"{'SETB01': 651.2, 'SETA02': -207.2}"
cpi_core,2023-08-01,2023-09-13,2023-09-10,2023-09-09,True,13.18,22.66,-9.47,22.98,15.93,0.0,"{'SETB01': 651.2, 'SETA02': -207.2}"
cpi_headline,2023-09-01,2023-10-12,2023-10-09,2023-10-08,True,24.85,24.85,0.0,17.93,43.67,0.0,"{'SETB01': -9.4, 'SETA02': -78.8}"
cpi_core,2023-09-01,2023-10-12,2023-10-09,2023-10-08,True,24.84,23.02,1.82,20.39,22.66,0.0,"{'SETB01': -9.4, 'SETA02': -78.8}"
cpi_headline,2023-10-01,2023-11-14,2023-11-11,2023-11-10,True,7.04,-3.83,10.88,21.25,24.85,0.0,"{'SETB01': -561.5, 'SETA02': 11.5}"
cpi_core,2023-10-01,2023-11-14,2023-11-11,2023-11-10,True,32.09,18.11,13.98,27.38,23.02,0.0,"{'SETB01': -561.5, 'SETA02': 11.5}"
cpi_headline,2023-11-01,2023-12-12,2023-12-09,2023-12-08,True,-21.5,-20.15,-1.35,-5.29,-3.83,0.0,"{'SETB01': -787.4, 'SETA02': 49.4}"
cpi_core,2023-11-01,2023-12-12,2023-12-09,2023-12-08,True,9.43,7.26,2.17,7.13,18.11,0.0,"{'SETB01': -787.4, 'SETA02': 49.4}"
cpi_headline,2023-12-01,2024-01-11,2024-01-08,2024-01-07,True,-14.24,-9.93,-4.3,-8.55,-20.15,0.0,"{'SETB01': -535.1, 'SETA02': -113.6}"
cpi_core,2023-12-01,2024-01-11,2024-01-08,2024-01-07,True,-1.49,9.66,-11.15,3.52,7.26,0.0,"{'SETB01': -535.1, 'SETA02': -113.6}"
cpi_headline,2024-01-01,2024-02-09,2024-02-06,2024-02-05,True,40.96,54.48,-13.51,49.22,-9.93,0.0,"{'SETB01': -180.4, 'SETA02': -105.1}"
cpi_core,2024-01-01,2024-02-09,2024-02-06,2024-02-05,True,43.89,55.02,-11.13,43.33,9.66,0.0,"{'SETB01': -180.4, 'SETA02': -105.1}"
cpi_headline,2024-02-01,2024-03-12,2024-03-09,2024-03-08,True,61.88,61.9,-0.01,44.58,54.48,0.0,"{'SETB01': 427.1, 'SETA02': -25.2}"
cpi_core,2024-02-01,2024-03-12,2024-03-09,2024-03-08,True,55.13,57.27,-2.13,49.37,55.02,0.0,"{'SETB01': 427.1, 'SETA02': -25.2}"
cpi_headline,2024-03-01,2024-04-10,2024-04-07,2024-04-06,True,42.65,64.64,-22.0,43.24,61.9,0.0,"{'SETB01': 643.0, 'SETA02': 1.9}"
cpi_core,2024-03-01,2024-04-10,2024-04-07,2024-04-06,True,27.61,52.91,-25.31,28.01,57.27,0.0,"{'SETB01': 643.0, 'SETA02': 1.9}"
cpi_headline,2024-04-01,2024-05-15,2024-05-12,2024-05-11,True,43.55,38.93,4.62,36.44,64.64,0.0,"{'SETB01': 523.7, 'SETA02': -5.1}"
cpi_core,2024-04-01,2024-05-15,2024-05-12,2024-05-11,True,27.11,28.07,-0.96,26.49,52.91,0.0,"{'SETB01': 523.7, 'SETA02': -5.1}"
cpi_headline,2024-05-01,2024-06-12,2024-06-09,2024-06-08,True,25.25,16.62,8.64,40.96,38.93,0.0,"{'SETB01': -22.4, 'SETA02': -19.2}"
cpi_core,2024-05-01,2024-06-12,2024-06-09,2024-06-08,True,27.34,20.47,6.87,26.57,28.07,0.0,"{'SETB01': -22.4, 'SETA02': -19.2}"
cpi_headline,2024-06-01,2024-07-11,2024-07-08,2024-07-07,True,15.14,3.38,11.76,47.14,16.62,0.0,"{'SETB01': -397.7, 'SETA02': -112.9}"
cpi_core,2024-06-01,2024-07-11,2024-07-08,2024-07-07,True,20.88,11.74,9.14,31.54,20.47,0.0,"{'SETB01': -397.7, 'SETA02': -112.9}"
cpi_headline,2024-07-01,2024-08-14,2024-08-11,2024-08-10,True,15.66,11.62,4.04,13.86,3.38,0.0,"{'SETB01': 81.8, 'SETA02': -28.2}"
cpi_core,2024-07-01,2024-08-14,2024-08-11,2024-08-10,True,11.93,6.61,5.32,18.87,11.74,0.0,"{'SETB01': 81.8, 'SETA02': -28.2}"
cpi_headline,2024-08-01,2024-09-11,2024-09-08,2024-09-07,True,8.85,8.14,0.71,17.06,11.62,0.0,"{'SETB01': -261.9, 'SETA02': -31.4}"
cpi_core,2024-08-01,2024-09-11,2024-09-08,2024-09-07,True,16.24,25.16,-8.91,24.7,6.61,0.0,"{'SETB01': -261.9, 'SETA02': -31.4}"
cpi_headline,2024-09-01,2024-10-10,2024-10-07,2024-10-06,True,14.59,16.04,-1.45,22.99,8.14,0.0,"{'SETB01': -499.5, 'SETA02': 140.5}"
cpi_core,2024-09-01,2024-10-10,2024-10-07,2024-10-06,True,32.47,34.12,-1.65,19.62,25.16,0.0,"{'SETB01': -499.5, 'SETA02': 140.5}"
cpi_headline,2024-10-01,2024-11-13,2024-11-10,2024-11-09,True,19.39,11.51,7.88,21.33,16.04,0.0,"{'SETB01': -230.6, 'SETA02': 57.4}"
cpi_core,2024-10-01,2024-11-13,2024-11-10,2024-11-09,True,29.98,20.21,9.77,26.43,34.12,0.0,"{'SETB01': -230.6, 'SETA02': 57.4}"
cpi_headline,2024-11-01,2024-12-11,2024-12-08,2024-12-07,True,-3.51,-5.42,1.91,-5.17,11.51,0.0,"{'SETB01': -259.2, 'SETA02': -23.7}"
cpi_core,2024-11-01,2024-12-11,2024-12-08,2024-12-07,True,6.52,5.87,0.64,7.58,20.21,0.0,"{'SETB01': -259.2, 'SETA02': -23.7}"
cpi_headline,2024-12-01,2025-01-15,2025-01-12,2025-01-11,True,6.82,3.55,3.27,-5.52,-5.42,0.0,"{'SETB01': -111.1, 'SETA02': -3.5}"
cpi_core,2024-12-01,2025-01-15,2025-01-12,2025-01-11,True,4.91,1.86,3.05,6.24,5.87,0.0,"{'SETB01': -111.1, 'SETA02': -3.5}"
cpi_headline,2025-01-01,2025-02-12,2025-02-09,2025-02-08,True,57.89,65.46,-7.57,53.97,3.55,0.0,"{'SETB01': 185.2, 'SETA02': 63.0}"
cpi_core,2025-01-01,2025-02-12,2025-02-09,2025-02-08,True,48.79,56.99,-8.2,46.37,1.86,0.0,"{'SETB01': 185.2, 'SETA02': 63.0}"
cpi_headline,2025-02-01,2025-03-12,2025-03-09,2025-03-08,True,50.66,44.42,6.25,51.29,65.46,0.0,"{'SETB01': 142.0, 'SETA02': -15.3}"
cpi_core,2025-02-01,2025-03-12,2025-03-09,2025-03-08,True,52.08,43.54,8.54,50.64,56.99,0.0,"{'SETB01': 142.0, 'SETA02': -15.3}"
cpi_headline,2025-03-01,2025-04-10,2025-04-07,2025-04-06,True,22.22,22.47,-0.25,45.94,44.42,0.0,"{'SETB01': -75.3, 'SETA02': 21.2}"
cpi_core,2025-03-01,2025-04-10,2025-04-07,2025-04-06,True,26.88,20.94,5.94,31.18,43.54,0.0,"{'SETB01': -75.3, 'SETA02': 21.2}"
cpi_headline,2025-04-01,2025-05-13,2025-05-10,2025-05-09,True,29.03,31.14,-2.12,35.38,22.47,0.0,"{'SETB01': 233.3, 'SETA02': -37.0}"
cpi_core,2025-04-01,2025-05-13,2025-05-10,2025-05-09,True,17.32,27.06,-9.74,26.79,20.94,0.0,"{'SETB01': 233.3, 'SETA02': -37.0}"
cpi_headline,2025-05-01,2025-06-11,2025-06-08,2025-06-07,True,22.72,20.89,1.84,37.98,31.14,0.0,"{'SETB01': -64.7, 'SETA02': -35.7}"
